text,label
aucune rponse demande. jai souscrit contrat chez concurrent.,0
"clair simple complet beaucoup gentillesse patience,trs satisfait m'avoir reu grand merci",1
rapide efficace,1
depuis plus an j'y toujours satisfaite service rendu professionnalismedepuis plus an j'y toujours satisfaite service rendu professionnalisme,1
tarif trs levs,0
trs bon site,1
trs facile trouver information site.,1
personne accueillante comptente explication compltes diffrentes garanties modalits d'un contrat venir,1
trs bien,1
"trs bien, j'ai obtenu devi trs rapidement n'ai ensuite harcele tlphone comme c'est ca certaines compagnies donc bravo.",1
facile demander devi,1
excellente ractivit,1
excellent accueil tlphonique service parfait attentes combles,1
rapide. facile,1
rien redire toujours aussi ractif,1
devi rapidement dlivr mail tenant compte tous lments fournis tlphone.,1
"rdv tlphone o personne ma contact. oblig rendre agence. chaque devi prix change, forminable. heureusement personne agence peu rattrap coup.",0
trop cher,0
personne j'ai tlphone trs sympathique aimable. d'ailleurs j'ai l'agence j'ai pris rendezvous souscrire contrat chez vous.,1
"impossible d'obtenir devi sans passer agence. prennent compte vie professionnelle, contentent uniquement propos tarif lev",0
chere,0
aucuns rappel aucuns suivit,0
"simplicit, efficacit prcision devis. trs bon suivi suite.",1
parfait,1
aucune raction suite demande,0
trs satisfait tout,1
devi refus. revoir,0
"conseill trs comptant rien dire , l'coute propose solution situation merci",1
ma fait dplacer rien jai trouv a lamentable,0
bon accueil devi toujours trop levs compars d'autres socits exactement mmes garanties franchise moins leves,0
super quipes,1
trs bien comme depuis an,1
"devi non performant, non prcis trop cher",0
conseiller fait erreur prnom engendre nouvel appel sans rponse concluante souscription dun contrat.,0
nai jamais rappel malgr relances,0
trs bonne coute rponse part charge clientle.,1
jai rien dire tout a passait trs bien,1
super,1
regrette n'ayez accept d'assurer nouvelle voiture raison peux comprendre. voiture a fille c'est hberge utiliserais celle ci. j'ai trouv service ailleurs. reste l'incomprhension,0
accueil sympathique. efficacit clart informations.,1
service top,1
trs rapide agrable,1
service trs professionnelle rapidit grande efficacit,1
"service client ractif comptent, m'a permis d'obtenir devi rapidement.",1
"amabilit, rapidit professionnalisme.",1
trop bien,1
trs bien conseill merci,1
parfait rapide rappel tout suite finaliser poser question,1
aucun interlocuteur aucun rponse.,0
trs bien l'coute recommande,1
facilit d'autres compagnies d'assurance.,1
rapide efficace,1
agence plus srieux d'autres..,1
deplacer rien alors tlphone o bien dis possible avoir complmentaire sant vie vie mutuelle entreprise trs bonne arriver place possible,0
excellent accueil excellente connaissance mtier,1
a rpondu partiellement demande,0
prise charge nouvelle assurance voiture. alle concurrence.,0
assur depuis annes. pu connectr donc mauvaise note a mettre.,0
"cliente depuis plus ans,je partie a concurrence moins chre mmes prestations.aucune ecoute",0
jai attendu min attendant rponse quon rponde,0
j'ai demand prix n'ai demandez si j'en satisfait eh bien non,0
aprs plus an fidlit chez trs du,0
capable proposer produit d'assurance.,0
trs mal renseign personne rappeler tlphone dit navais trop envie renseign pense vais voir chez concurent fait meilleur offre,0
"si personnes travaillant agence nont envie travailler samusent a prendre gen haut, aucun intrt dplacer perdre temps. lhistoire perdu moins contrats grce lego lirratibilit employs. lagence valence prfecture bannir",0
"mle accueil conseillre, genre drange, occup tlphone,",0
aucun suivi,0
tarifs franchise trop levs rapport ba concurrence,0
trs mauvais,0
"monsieur, trs professionnel intress",0
impossible finaliser souscription ligne. coup all chez concurrent,0
nul cher,0
prix cher,0
trop trop chres,0
personne a recontact,0
"nul, limite lescroquerie",0
vraiment dcus acceuil,0
augmentation tarif,0
jattends toujours devi,0
"reponse a questions,deu,",0
conseiller rpond cest comme a. si ntes content allez ailleurs... donc vais ailleurs,0
franchise trop cher assurance aussi somme a lait,0
assez prcis convaincant,0
satisfait,0
personnel trs dsagrable,0
nul nul,0
j'ai attendu heures tlphone tre assur. refus. tout satisfait.,0
j'ai demand qu'on m'envoie devi mail. j'attends toujours.,0
trs mcontent,0
"nul coute, style si a convient allez voir ailleurtrs du",0
nai toujours rien reu jour ..,0
service commercial dplorable,0
cotisation horriblement elevee,0
trs mauvais,0
cela fait fois qu'ils refuse m'assurer voiture. trs mcontente,0
hors rel srieux vendeur donne aucune confiance bien trop cher prestation mauvaise qualit tarif excessif sen arnaqu,0
prix lev rapport garantie,0
"malgr plusieurs tentatives, n'ai pu obtenir relev d'informations",0
j'ai fait demande d'un relev d'information vehicule malgr mail l'est jamais reu contre j'ai trois fois devi le meme nouveau vhicule tres dus,0
trs mal,0
attend toujours qu'on rappel,0
fais demande d'assurance auto accepter juste maman arriv l'agence dit j'ai rsili refuse m'assurer entretemps malins m'ont fait souscrire assurance habitation peux resilier partir d'un an,0
cest pire pire,0
bon assurance,0
"ractivit laisse dsirer lorsque agit assurer vhicule nouvellement acquis alors devi a ralis pralable agence incomprhensible. plus est, a demande souscription prix demand garanties demandes correspond montant bien plus cher encore incomprhensible inadmissible",0
"client depuis ans, change vhicule met porte alors jai deux devi sengageaient prcdemment, agence malhonnte haut dessus prix march, jai dcid retir assurance moto ainsi tout autres contrat mengageant cet assureur en plus refus auto, laisserai dsormais plus aucune miette salaire chez cet assureur.",0
sav inexistant rpondent jamais tlphone.,0
pu massurer car vu navais souscrite lassurance directement aprs avoir acheter vhicule car papiers fait depuis plus dune semaine navais rcupr vhicule directement,0
trs mal reu,0
aucune rponse mail malgr client chez,0
triste car si na parent chez l'assurance tassure compltement dbile bien du,0
tromp date changement assurance crdit immobilier perdu plus an pouvoir changer assurance.,0
longueur d'attentes tlphone sans rponses... idem email restent sans rponses,0
"jai demand rdv tlphonique conclure devi rdv pris mais, personne ma appel...",0
content tout cette assurance,0
satisfaction,0
aimable a chercher trouver solution,0
rponse demande,0
j'attends toujours qu'on rappelle,0
"suite deux demandent tre contacter, jour n'ai reu aucun appel,bien qu'il prcis site qu'il a service tlphonique.",0
tros cher franchise tros haute,0
retour devis. navigation complique dommage all ailleurs,0
"tarifs levs couverture insuffisantes concerne vhicule,franchises injustes coteuses",0
competitif,0
rdv donn h ..... contact h,0
depuis dernire visite j'ai rsilier assurance automobile,0
manque professionnalisme comptence matire d'assurance emprunteur,0
beaucoup reconnaissance fidlit,0
aucun retour mal accueilli agences,0
"mauvaise exprience, aprs seulement quelques heures aprs avoir sign contrat temporaire ,j souhait tout prix rtracter trouv meilleurs service ailleurs refus rembourser. trouve si peu client lorsqu lache plus. honte aucune confiance cette compagnie",0
trop cher agence fond attendre heures,0
"nais rien command tout chez forcez gen rester, naime rien sign prolonger contrat, arrtez menvoyer factures, plus assur chez depuis an maintenant donc stop conneries",0
mauvais car peux plus contacter agence mail comme c'tait ca auparavant,0
trs mauvaise exprience mavez donn suite mois aprs confirmeras possible donner suite malgr tous papiers elles prtes,0
"impossible faire estimation, l'obligation s'identifier pnible surtout lorsque l'on veut juste avoir ide coterait l'assurance d'un vhicule l'on pense acheter.",0
jamais rponse part,0
j'ai demand tre recontact j'ai reu message comme quoi j'allais tre contact .et cette heure tlphone a sonn dire toutes ligne occups depuis nouvelles,0
franchise bien trop leve massurez qu'au tier,0
personne m'a appel,0
"trop cher , prix augmentation attendat injuste",0
